,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
2428,honghailan,8756,372389.910605,2383436.57192,inf,0.1747,1.0,0.69119066,0.41797128,4.476489,0.37179706,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,honghailan,8757,372389.32852,2383439.67417,52.790695,0.2227,0.96281886,0.7236143,0.4630548,5.2362633,0.44996446,7.061519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2430,honghailan,8759,372389.493003,2383470.352,28.966667,0.16780001,0.9332592,0.64505434,0.39572832,3.6346664,0.35305506,5.1088305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2431,honghailan,8760,372389.922952,2383468.69835,47.44737,0.1765,0.95871806,0.6756506,0.41135594,4.166189,0.3709791,6.673075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2432,honghailan,8761,372389.691441,2383466.38324,85.66667,0.1778,0.976923,0.6836688,0.41676962,4.3224854,0.37512448,9.094659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2433,honghailan,8762,372387.343259,2383466.41632,26.676056,0.1823,0.9277354,0.65631837,0.41124952,3.8193388,0.37776434,4.880634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2434,honghailan,8763,372393.726345,2383468.56606,56.468754,0.17750001,0.9651985,0.68171245,0.41391152,4.2836256,0.3734075,7.316991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2435,honghailan,8764,372392.317436,2383472.15779,14.619048,0.1716,0.87195116,0.61578953,0.38681626,3.2054796,0.35324922,3.4460335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2436,honghailan,8765,372393.759418,2383474.61842,59.222218,0.1572,0.96678966,0.6569949,0.38984525,3.8308153,0.33693993,7.502576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2437,honghailan,8766,372393.957856,2383476.50358,25.841463,0.20369999,0.92548835,0.68710196,0.43419117,4.3918576,0.41349322,4.7948394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2438,honghailan,8769,372409.932107,2383468.2684,15.5472975,0.21530001,0.87913436,0.6536112,0.4350605,3.773859,0.42528567,3.576175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2439,honghailan,8770,372409.700596,2383466.3171,55.023254,0.2323,0.9643006,0.7384277,0.4732938,5.6460676,0.4657476,7.2176623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2440,honghailan,8771,372397.827395,2383454.41083,103.38095,0.21499999,0.9808394,0.72575516,0.45921722,5.2927537,0.4398023,10.020942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2441,honghailan,8772,372395.710724,2383454.70848,195.89998,0.19489999,0.98984253,0.71391076,0.43922696,4.9908257,0.40661767,13.889575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
