,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
68,baigurang,3925,373352.94,2381643.79,0.079300001,0.076899998,0.073600002,0.054499999,0.028100001,0.210800007,0.336400002,0.380699992,11.97153,0.3083,0.84581614,0.64097565,0.51065165,3.570652,0.54902977,3.0462923,0.6087465,0.68184555,0.54836357,1.1647264,0.6087465,0.76475513,-0.64097565,1.4867918
69,baigurang,3926,373311.6649,2381561.108,0.086400002,0.085199997,0.085699998,0.065800004,0.0418,0.214599997,0.354699999,0.385500014,8.485646,0.3129,0.7891551,0.6108083,0.49691713,3.1388564,0.5376215,2.4305012,0.56556576,0.65222645,0.5311076,0.7547965,0.5655658,0.673947,-0.6108083,1.3999634
70,baigurang,3927,373274.7555,2381597.62,0.082400002,0.081500001,0.076399997,0.061000001,0.025699999,0.182099998,0.3116,0.307500005,12.124514,0.2859,0.8476134,0.60618556,0.49227297,3.0785341,0.5204692,3.0707145,0.5939842,0.6668892,0.5168212,0.9583987,0.5939842,0.75264674,-0.60618556,1.453799
71,baigurang,3928,373330.8826,2381662.576,0.077699997,0.0788,0.0757,0.0557,0.028899999,0.188899994,0.32249999,0.32069999,11.159169,0.2936,0.8355151,0.61978906,0.495285,3.2602377,0.52735186,2.9134412,0.58533144,0.66596794,0.5236585,0.89783055,0.58533144,0.7346189,-0.61978906,1.4553041
72,baigurang,3929,373389.4852,2381563.478,0.086400002,0.083400004,0.080700003,0.062199999,0.037,0.188199997,0.307200015,0.276300013,8.302703,0.2702,0.7850087,0.5839133,0.46055335,2.8066914,0.48388255,2.3943026,0.5164528,0.62164223,0.4737756,0.6597173,0.5164528,0.67140317,-0.5839133,1.368922
73,baigurang,3930,373410.2286,2381554.588,0.081600003,0.081500001,0.080700003,0.062799998,0.035300002,0.1919,0.309399992,0.305099994,8.764872,0.2741,0.79518425,0.5862599,0.4668619,2.8339527,0.49152875,2.484855,0.5304296,0.62999016,0.48240104,0.73041594,0.53042966,0.68926054,-0.5862599,1.3814442
74,baigurang,3931,373393.1894,2381535.75,0.082400002,0.0788,0.0836,0.061000001,0.037,0.207800001,0.326200008,0.378300011,8.816216,0.2892,0.7962555,0.59199613,0.47987196,2.901914,0.51095414,2.4947355,0.5501919,0.6411926,0.5033898,0.8197429,0.5501919,0.6977124,-0.59199613,1.3882517
75,baigurang,3932,373373.5044,2381519.981,0.081600003,0.080600001,0.0836,0.0682,0.0394,0.209299996,0.340799987,0.350699991,8.649746,0.30139998,0.7927406,0.6060321,0.4888067,3.0765548,0.5249554,2.4625728,0.55669665,0.647212,0.5180854,0.76899153,0.55669653,0.68315244,-0.6060321,1.3987727
76,baigurang,3933,373428.8553,2381537.02,0.074500002,0.079700001,0.078599997,0.056299999,0.035300002,0.194999993,0.337099999,0.307500005,9.549575,0.3018,0.81041896,0.62184274,0.49455482,3.288804,0.5306579,2.6322494,0.56832606,0.6575657,0.5254328,0.7535948,0.56832606,0.6934433,-0.62184274,1.4322617
77,baigurang,3934,373439.0153,2381594.699,0.079999998,0.0788,0.077100001,0.060400002,0.028100001,0.222900003,0.351700008,0.384299994,12.516014,0.3236,0.8520273,0.64039177,0.5250867,3.5616083,0.5700636,3.1324046,0.6379712,0.6953982,0.5720701,1.3139203,0.6379712,0.77609557,-0.64039177,1.492419
