,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8
6934,water,10897,371132.155652,2384903.03244,0.09040000289678574,0.09619999676942825,0.1006999984383583,0.10429999977350235,0.0820000022649765,0.07649999856948853,0.05220000073313713,0.0
6935,water,10898,371132.486382,2384910.83767,0.08720000088214874,0.09440000355243683,0.10000000149011612,0.10199999809265137,0.0812000036239624,0.06750000268220901,0.05290000140666962,0.0
6936,water,10899,371132.287944,2384912.55746,0.08959999680519104,0.09619999676942825,0.10000000149011612,0.1054999977350235,0.0851999968290329,0.05920000001788139,0.04490000009536743,0.0
6937,water,10900,371132.287944,2384914.37648,0.08640000224113464,0.09709999710321426,0.1006999984383583,0.10080000013113022,0.0860000029206276,0.05990000069141388,0.04270000010728836,0.0
6938,water,10901,371128.947572,2384914.70721,0.09120000153779984,0.10080000013113022,0.10499999672174454,0.11029999703168869,0.0925000011920929,0.05990000069141388,0.02590000070631504,0.0
6939,water,10904,371126.434026,2384914.97179,0.08399999886751175,0.08980000019073486,0.09430000185966492,0.07760000228881836,0.06270000338554382,0.16179999709129333,0.19900000095367432,0.24639999866485596
6940,water,10907,371126.797829,2384919.07284,0.08720000088214874,0.08889999985694885,0.08569999784231186,0.08179999887943268,0.05299999937415123,0.14820000529289246,0.2011999934911728,0.2272000014781952
6941,water,10909,371128.054602,2384920.75956,0.09269999712705612,0.09989999979734421,0.10209999978542328,0.10790000110864639,0.09009999781847,0.043299999088048935,0.005400000140070915,0.0
6942,water,10910,371130.171273,2384920.85878,0.08959999680519104,0.09709999710321426,0.09640000015497208,0.10260000079870224,0.0820000022649765,0.06750000268220901,0.05000000074505806,0.0
6943,water,10911,371130.303565,2384922.31399,0.08640000224113464,0.09989999979734421,0.09860000014305115,0.10369999706745148,0.0843999981880188,0.05689999833703041,0.04050000011920929,0.0
6944,water,10912,371126.731683,2384922.5455,0.09589999914169312,0.09440000355243683,0.09860000014305115,0.09719999879598618,0.06589999794960022,0.09459999948740005,0.10920000076293945,0.022099999710917473
