,CLASS_NAME,num,x,y,Entropy,Alpha,Anisotropy,HA,H(1-A),(1-H)A,(1-H)(1-A)
190,baigurang,4086,373922.4563,2380640.391,0.71928656,19.529892,0.6026337,14.047589,-13.328302,5.482303,-5.2015896
191,baigurang,4087,373970.5048,2380639.121,0.71787584,20.227266,0.6040339,14.520666,-13.80279,5.7066007,-5.4244766
192,baigurang,4088,374004.3715,2380586.204,0.709985,18.90801,0.61178535,13.424404,-12.714419,5.4836063,-5.193591
193,baigurang,4090,373938.1197,2380569.906,0.6686227,16.98152,0.6503514,11.354229,-10.685606,5.6272907,-5.295913
194,baigurang,4091,373907.8513,2380582.182,0.7167542,19.340082,0.60514396,13.862085,-13.14533,5.4779973,-5.1947513
195,baigurang,4092,373872.2912,2380575.197,0.6719635,19.232088,0.64735687,12.923262,-12.251298,6.3088264,-5.98079
196,baigurang,4094,373792.9161,2380539.214,0.7228848,22.740847,0.5990423,16.439013,-15.716127,6.301835,-6.0247197
197,baigurang,4095,373803.9228,2380503.442,0.64386517,18.107723,0.671939,11.658933,-11.015067,6.448791,-6.092656
198,baigurang,4097,373844.5629,2380512.121,0.7077422,21.372913,0.61396414,15.1265135,-14.418771,6.2464004,-5.9541426
199,baigurang,4098,373759.0494,2380517.836,0.74519676,23.843847,0.5760967,17.768358,-17.02316,6.0754895,-5.8206863
200,baigurang,4100,373730.051,2380580.066,0.51449233,11.185579,0.7702196,5.7548947,-5.240402,5.4306846,-4.945177
201,baigurang,4103,373694.9142,2380670.236,0.6759912,18.6982,0.6437199,12.639818,-11.963827,6.058382,-5.734373
202,baigurang,4104,373723.4893,2380703.679,0.69670856,19.876017,0.62453055,13.847791,-13.151082,6.028226,-5.724934
203,baigurang,4105,373749.3127,2380740.509,0.7234431,19.870752,0.59848243,14.375359,-13.651916,5.4953938,-5.218837
204,baigurang,4106,373768.3627,2380701.986,0.6658837,17.763147,0.6527915,11.828191,-11.162307,5.9349566,-5.6008406
205,baigurang,4107,373692.7976,2380738.816,0.77086145,21.229683,0.5481256,16.365145,-15.594283,4.8645387,-4.6354003
206,baigurang,4108,373686.2359,2380774.376,0.6010322,18.351168,0.7069839,11.029643,-10.428611,7.321525,-6.9225574
207,baigurang,4109,373722.8543,2380826.658,0.7814763,23.358288,0.53600603,18.253948,-17.472473,5.104339,-4.885815
208,baigurang,4110,373681.7909,2380823.271,0.68586946,19.25068,0.6346728,13.203454,-12.517585,6.047227,-5.733096
209,baigurang,4111,373651.7341,2380832.585,0.7431764,24.16142,0.5782243,17.956198,-17.213022,6.205223,-5.9483995
210,baigurang,4112,373749.736,2380897.778,0.65627205,16.792141,0.6612508,11.020213,-10.363941,5.7719283,-5.4282002
211,baigurang,4115,373831.0162,2380635.523,0.8376982,26.059542,0.46521488,21.830032,-20.992334,4.22951,-4.0672083
212,baigurang,4116,373882.4513,2380527.572,0.7293371,21.117733,0.5925284,15.401946,-14.672609,5.715787,-5.445124
213,baigurang,4117,373928.8064,2380523.762,0.67951715,18.725279,0.6405116,12.724148,-12.044631,6.0011306,-5.680648
214,baigurang,4118,373952.9364,2380491.377,0.6095317,16.251713,0.7002466,9.905934,-9.296402,6.3457785,-5.9553103
215,baigurang,4119,373893.2463,2380464.496,0.70601094,23.86247,0.61563873,16.847166,-16.141155,7.0153055,-6.7213163
216,baigurang,4120,373853.8762,2380445.234,0.69056433,20.077122,0.630308,13.864544,-13.17398,6.2125773,-5.903142
217,baigurang,4121,373813.0245,2380419.834,0.67531615,17.052225,0.6443315,11.515643,-10.840327,5.536582,-5.2118983
218,baigurang,4122,373835.6728,2380389.777,0.70404387,19.240582,0.6175338,13.546213,-12.84217,5.6943684,-5.398412
219,baigurang,4126,373989.7754,2380601.262,0.7786778,22.407473,0.53923464,17.448202,-16.669523,4.9592705,-4.7379484
220,baigurang,4127,374025.3355,2380569.67,0.7305129,18.694239,0.59133095,13.656383,-12.92587,5.0378556,-4.7683687
221,baigurang,4128,374059.4668,2380572.052,0.7838286,27.074978,0.5332731,21.222143,-20.438314,5.8528357,-5.636664
