,CLASS_NAME,num,x,y,B2,B3,B4,B5,B6,B7,advanced1,advanced5,advanced10,higher3,higher5,higher6,higher7,higher8,simple2,simple4,simple5,simple6,simple7
6060,tonghuashu,9745,371679.5694,2385302.839,0.075999998,0.064999998,0.047400001,0.022500001,0.164800003,0.237800002,55.596954,220.32805,0.87347305,18.40566,0.000379477,2785.5378,0.000323492,2086.6433,4.846015,0.6066488,14.00831,-692.0652,61371.76
6061,tonghuashu,9747,371677.4527,2385304.903,0.0779,0.064300001,0.058699999,0.0305,0.155000001,0.216600001,55.275623,220.48006,0.8809234,18.027523,0.000381006,2774.0137,0.000325532,2091.3408,5.0254645,0.5866528,13.670361,-442.94754,60311.21
6062,tonghuashu,9748,371675.8652,2385304.797,0.0779,0.064300001,0.058699999,0.0305,0.155000001,0.216600001,55.275623,220.48006,0.8809234,18.027523,0.000381006,2774.0137,0.000325532,2091.3408,5.0254645,0.5866528,13.670361,-442.94754,60311.21
6063,tonghuashu,9749,371677.0823,2385306.596,0.073299997,0.0678,0.060400002,0.034499999,0.144400001,0.237000003,55.72853,218.78001,0.8611447,16.961164,0.000379118,2790.0776,0.000320573,2070.3179,4.8274274,0.60716206,12.382272,-772.2149,60789.965
6064,tonghuashu,9750,371679.3048,2385306.967,0.075099997,0.064999998,0.062799998,0.0265,0.145899996,0.2465,56.414127,212.64087,0.83119464,16.572916,0.000375444,2817.1199,0.000315824,2059.5784,4.4790215,0.643608,11.587257,-1242.0858,62074.9
6065,tonghuashu,9751,371677.7702,2385298.394,0.082400002,0.068599999,0.050999999,0.0297,0.159500003,0.27579999,54.063713,222.26631,0.9136878,20.319328,0.000391007,2694.8276,0.000337058,2083.7761,5.3856006,0.5380957,17.66205,491.741,62363.785
6066,tonghuashu,9753,371675.4948,2385296.436,0.0788,0.065700002,0.055100001,0.028100001,0.178399995,0.301299989,52.939056,213.83002,0.93543124,22.546875,0.0004001,2618.8438,0.000348248,2052.0713,5.688688,0.494706,19.00831,1335.0421,66311.88
6067,tonghuashu,9754,371675.7594,2385294.531,0.072400004,0.064999998,0.052700002,0.0265,0.169300005,0.28670001,52.80194,214.13394,0.94045424,23.602316,0.000401415,2606.7183,0.000352543,2077.9985,5.6582303,0.48610336,19.565098,1463.1438,67996.39
6068,tonghuashu,9755,371901.5844,2385332.692,0.075099997,0.062799998,0.0515,0.025699999,0.168500006,0.305700004,57.81579,221.03047,0.8664228,20.209303,0.000359124,3082.9768,0.00027523,1941.7864,4.1599836,0.6442049,28.745152,-3653.911,128627.72
6069,tonghuashu,9757,371903.701,2385336.462,0.064099997,0.035700001,0.0266,0.0032,0.0305,0.030999999,57.29363,229.4169,0.89474446,21.202127,0.000359702,3073.2607,0.000277613,1956.4966,4.569821,0.60147315,30.63712,-3353.9675,121948.625
6070,tonghuashu,9758,371901.3198,2385336.264,0.090700001,0.080700003,0.100199997,0.061900001,0.046300001,0.023,57.78393,220.00717,0.8744085,21.182858,0.000357345,3097.5085,0.000271804,1924.1229,4.239973,0.63150394,28.958448,-3624.4917,127555.58
6071,tonghuashu,9759,371905.4208,2385338.811,0.079700001,0.066399999,0.071699999,0.0506,0.032000002,0.0405,56.743767,239.88974,0.9100897,21.851484,0.000361311,3054.9407,0.000285107,2042.0809,4.8783092,0.566674,32.318558,-3059.7996,117963.87
6072,tonghuashu,9760,371907.5375,2385338.612,0.063199997,0.0528,0.033199999,0.0128,0.069700003,0.130400002,56.18975,249.25487,0.9256334,21.530233,0.00036661,3013.8884,0.000294012,2049.1748,5.2008147,0.5426423,34.99446,-2744.9155,115450.3
6073,tonghuashu,9762,371959.9913,2385362.623,0.0788,0.071400002,0.057500001,0.028100001,0.174600005,0.296900004,53.386425,247.71017,0.9568687,18.75,0.000390221,2790.5378,0.000341073,2187.999,6.431166,0.4077007,33.049862,-188.52373,86071.96
6074,tonghuashu,9763,371961.7441,2385364.707,0.068700001,0.062100001,0.0515,0.0273,0.117299996,0.180800006,53.717453,250.72775,0.95063573,18.070312,0.000388275,2804.461,0.000338554,2180.9265,6.290369,0.42702168,30.216066,-436.73538,87712.266
6075,tonghuashu,9764,371963.7616,2385364.541,0.076899998,0.072099999,0.054499999,0.028100001,0.174600005,0.293300003,53.567867,250.46634,0.9544969,18.366795,0.000390358,2788.915,0.000339901,2152.8904,6.3351364,0.4183816,30.614958,-313.17023,87132.69
6076,tonghuashu,9765,371963.3316,2385362.557,0.074199997,0.057100002,0.0515,0.025699999,0.140599996,0.221000001,53.289474,248.06648,0.9589064,18.977444,0.000392063,2777.3872,0.000342659,2171.1484,6.4416137,0.4031092,33.37673,-107.56437,86137.3
6077,tonghuashu,9766,371987.5411,2385376.712,0.076899998,0.0614,0.053300001,0.0233,0.161799997,0.249500006,54.646816,237.86946,0.93720573,20.580246,0.000381212,2836.9219,0.000333197,2189.2727,5.69391,0.46263835,31.797785,-786.0322,79266.87
6078,tonghuashu,9768,371985.4905,2385376.415,0.073299997,0.052099999,0.039700001,0.0209,0.103699997,0.191,54.718838,237.609,0.93476385,19.575,0.000382451,2827.546,0.000336157,2186.5405,5.677981,0.46254227,30.722992,-827.4984,79217.375
6079,tonghuashu,9769,371999.6788,2385378.399,0.073299997,0.064300001,0.056299999,0.024900001,0.153500006,0.253800005,54.28809,254.69849,0.9376187,21.278688,0.000386983,2815.877,0.00033117,2126.3125,5.703977,0.4588798,38.542934,-783.033,89929.266
6080,tonghuashu,9770,372001.7624,2385378.664,0.076899998,0.064999998,0.0539,0.024900001,0.152700007,0.241400003,54.278393,252.90051,0.94237953,20.836735,0.00038691,2814.2856,0.000331887,2136.9946,5.733931,0.4631528,40.71191,-760.2613,89281.31
6081,tonghuashu,9771,372003.813,2385378.664,0.0788,0.066399999,0.056299999,0.0265,0.158700004,0.253800005,54.281162,255.05498,0.94569874,21.155102,0.000387363,2813.1265,0.000331913,2139.4998,5.7254963,0.4670052,42.00831,-793.89386,90865.49
