,CLASS_NAME,num,x,y,RVI,DVI,GNDVI,MSAVI,MCARI,NDWI,CMRI
4906,mulan,8877,374369.4077,2381336.781,43.74167,0.5129,0.7991431,0.8679925,5.6891317,-0.7991431,1.754442
4907,mulan,8878,374329.3232,2381334.955,59.23864,0.51250005,0.79140896,0.8869358,7.2438073,-0.79140896,1.7582078
4908,mulan,8880,374327.8151,2381339.083,53.14423,0.5423,0.7854951,0.89915055,7.0340395,-0.7854951,1.7485567
4909,mulan,8881,374325.7513,2381345.036,26.085228,0.4415,0.77876794,0.7670771,3.0847669,-0.77876794,1.704927
4910,mulan,8882,374325.672,2381346.782,189.5,0.4524,0.78178257,0.87207705,21.489038,-0.78178257,1.7712839
4911,mulan,8883,374327.1801,2381347.02,60.546875,0.3811,0.7486462,0.72794986,5.8721504,-0.7486462,1.7161508
4912,mulan,8884,374327.3388,2381344.956,54.837498,0.4307,0.7618474,0.79813814,5.4896526,-0.7618474,1.7260292
4913,mulan,8885,374309.6382,2381342.813,48.365387,0.49260002,0.77112675,0.858747,6.609202,-0.77112675,1.7306125
4914,mulan,8886,374309.6382,2381340.749,61.056816,0.52849996,0.78416073,0.8994909,6.7017217,-0.78416073,1.7519321
4915,mulan,8888,374341.2295,2381334.796,49.102272,0.4233,0.779654,0.7830684,5.8045063,-0.779654,1.7397356
4916,mulan,8889,374341.3089,2381332.971,47.291664,0.44439998,0.75425035,0.80799985,4.886068,-0.75425035,1.7128353
4917,mulan,8890,374339.3245,2381332.891,51.761364,0.4467,0.79472023,0.8155706,4.868247,-0.79472023,1.7568138
4918,mulan,8891,374289.634,2381520.735,53.590908,0.4628,0.7962293,0.83592916,6.2634797,-0.7962293,1.7595932
4919,mulan,8892,374291.5522,2381520.801,86.97916,0.4127,0.77546245,0.789413,7.2849746,-0.77546245,1.7527299
4920,mulan,8896,374295.4218,2381519.048,51.104164,0.48099998,0.7865987,0.8517175,7.5211186,-0.7865987,1.748214
4921,tonghuashu,4931,370718.9285,2386643.929,12.584906,0.307,0.6650024,0.5493834,1.0516753,-0.6650024,1.5177803
4922,tonghuashu,4932,370732.5281,2386650.279,8.747331,0.2177,0.5601396,0.39821166,0.5204567,-0.5601396,1.3549552
4923,tonghuashu,4933,370769.0142,2386666.71,8.317269,0.1822,0.5105762,0.33887392,0.38798502,-0.5105762,1.295921
4924,tonghuashu,4934,370783.0636,2386659.355,10.089855,0.3136,0.65959483,0.54466367,0.87228,-0.65959483,1.4792498
4925,tonghuashu,4935,370791.0276,2386655.994,11.86747,0.27060002,0.61387223,0.49281165,0.97883147,-0.61387223,1.4584415
