,CLASS_NAME,num,x,y,B2,B3,B4,B5,B6,B7,B8
6231,water,3398,374927.2342,2381224.437,0.083400004,0.090000004,0.076499999,0.0506,0.201700002,0.287499994,0.302700013
6232,water,3399,374925.9112,2381250.102,0.087899998,0.095700003,0.089500003,0.047400001,0.200200006,0.292600006,0.256000012
6233,water,3401,374945.6227,2381263.199,0.1127,0.118600003,0.102600001,0.082800001,0.127100006,0.0902,0.082099997
6234,water,3402,374918.2383,2381300.638,0.106299996,0.117899999,0.117399998,0.077200003,0.035,0,0
6235,water,3403,374940.5957,2381292.435,0.105400003,0.111400001,0.0942,0.081200004,0.131600007,0.174899995,0.130099997
6236,water,3404,374923.7946,2381317.306,0.091600001,0.0814,0.072300002,0.0418,0.143700004,0.152999997,0.165999994
6237,water,3405,374929.6154,2381328.287,0.105400003,0.115000002,0.107299998,0.082800001,0.091600001,0.025900001,0
6238,water,3406,374914.7326,2381383.095,0.098899998,0.100699998,0.096000001,0.074000001,0.081799999,0.121600002,0.0209
6239,water,3408,374794.7306,2381143.581,0.1109,0.113600001,0.113200001,0.090099998,0.0735,0.0266,0
6240,water,3409,374807.4306,2381153.899,0.093400002,0.109999999,0.090099998,0.0603,0.125499994,0.221699998,0.216399997
6241,water,3411,374851.0869,2381166.441,0.106299996,0.122900002,0.110299997,0.088399999,0.079499997,0.0149,0
6242,water,3414,374729.4842,2381146.756,0.081500001,0.090700001,0.077600002,0.052200001,0.217600003,0.325399995,0.32190001
6243,water,3415,374700.1154,2381141.834,0.106299996,0.117899999,0.117399998,0.092500001,0.0471,0.025900001,0
6244,water,3417,374646.4578,2381105.163,0.116400003,0.137199998,0.130999997,0.103699997,0.0682,0.0339,0
6245,water,3418,374644.5528,2381081.509,0.109899998,0.109999999,0.120300002,0.091700003,0.067500003,0.028100001,0
6246,water,3421,373589.3857,2380893.423,0.098899998,0.101400003,0.0889,0.065099999,0.125499994,0.1567,0.073700003
6247,water,3422,373601.7682,2380889.613,0.106299996,0.111400001,0.091899998,0.0603,0.0101,0,0
6248,water,3423,373610.0233,2380895.328,0.108099997,0.112899996,0.091300003,0.0603,0.068999998,0.046300001,0
6249,water,3424,373619.5483,2380891.042,0.107199997,0.114299998,0.088299997,0.065899998,0.0109,0,0
6250,water,3426,373630.1845,2380893.106,0.105400003,0.111400001,0.096600004,0.064300001,0.0041,0,0
6251,water,3427,373636.3758,2380896.916,0.1118,0.115000002,0.093699999,0.065899998,0.0041,0,0
6252,water,3428,373640.3446,2380891.677,0.108099997,0.111400001,0.093699999,0.059500001,0.0086,0,0
6253,water,3429,373648.2821,2380891.994,0.1017,0.113600001,0.092500001,0.061099999,0.0116,0,0
6254,water,3430,373645.5833,2380897.233,0.102600001,0.107900001,0.093099996,0.065099999,0.035799999,0,0
6255,water,3431,373652.7271,2380898.503,0.104400001,0.114299998,0.096000001,0.062700003,0.0162,0.0018,0
6256,water,3432,373656.8546,2380893.423,0.108099997,0.112099998,0.0942,0.059500001,0.0124,0,0
6257,water,3436,373676.0634,2380895.328,0.102600001,0.111400001,0.093099996,0.062700003,0.0132,0,0
6258,water,3438,373688.6047,2380898.979,0.104400001,0.111400001,0.093699999,0.064300001,0.0116,0,0
6259,water,3440,373699.7172,2380901.202,0.1008,0.109999999,0.098399997,0.063500002,0.0132,0,0
6260,water,3441,373695.1134,2380898.503,0.104400001,0.112099998,0.098399997,0.0691,0.023,0,0
6261,water,3442,373702.4159,2380907.869,0.105400003,0.112899996,0.0942,0.059500001,0.0132,0,0
6262,water,3443,373712.7347,2380910.886,0.107199997,0.115699999,0.093699999,0.065899998,0.0177,0,0
6263,water,3444,373709.8772,2380904.853,0.1109,0.112899996,0.095399998,0.071599998,0.0184,0,0
6264,water,3445,373709.0835,2380910.727,0.107199997,0.117200002,0.0942,0.064300001,0.0124,0,0
6265,water,3446,373714.3222,2380920.569,0.096199997,0.1043,0.0788,0.067500003,0.115699999,0.140599996,0.144400001
6266,water,3448,373724.3235,2380921.046,0.106299996,0.112899996,0.097199999,0.065899998,0.0177,0,0
6267,water,3449,373722.2597,2380925.967,0.108099997,0.115699999,0.099600002,0.0748,0.0011,0,0
6268,water,3451,373728.2922,2380933.587,0.082400002,0.080700003,0.0616,0.040199999,0.188899994,0.271400005,0.238000005
6269,water,3453,373735.5948,2380939.937,0.087899998,0.094999999,0.082400002,0.048999999,0.186700001,0.216600001,0.253600001
6270,water,3454,373740.6748,2380943.747,0.104400001,0.113600001,0.094800003,0.070699997,0.0154,0.0383,0
6271,water,3455,373744.961,2380949.462,0.087899998,0.091399997,0.066399999,0.037,0.196500003,0.280900002,0.231999993
6272,water,3456,373747.501,2380955.653,0.084299996,0.094999999,0.074699998,0.037799999,0.257600009,0.356099993,0.440600008
6273,water,3457,373754.1685,2380955.495,0.105400003,0.112899996,0.0942,0.063500002,0.0184,0,0
6274,water,3458,373757.026,2380961.368,0.104400001,0.115699999,0.092500001,0.064300001,0.0086,0,0
6275,water,3459,373760.8361,2380966.131,0.1118,0.120700002,0.107299998,0.076399997,0.028999999,0.0244,0
6276,water,3460,373774.4886,2380964.385,0.102600001,0.112099998,0.098999999,0.072400004,0.026699999,0.0003,0
6277,water,3461,373763.8523,2380979.942,0.106299996,0.109300002,0.097199999,0.0691,0.038800001,0.0003,0
6278,water,3462,373773.5361,2380996.611,0.0669,0.079999998,0.060400002,0.0265,0.225899994,0.429899991,0.4454
6279,water,3465,373807.0324,2380964.543,0.1127,0.114299998,0.103100002,0.075599998,0.0305,0,0
6280,water,3466,373817.4358,2381272.662,0.093400002,0.103600003,0.087700002,0.0539,0.125499994,0.168400005,0.118100002
6281,water,3467,373823.68,2381268.534,0.098899998,0.113600001,0.101400003,0.073200002,0.028999999,0.0032,0
6282,water,3468,373830.3475,2381270.439,0.086099997,0.085699998,0.072300002,0.043400001,0.101400003,0.113600001,0.0341
6283,water,3472,373758.58,2381258.877,0.1017,0.108599998,0.096000001,0.067500003,0.0614,0.061000001,0
6284,water,3473,373765.3534,2381268.296,0.081500001,0.087099999,0.067000002,0.0265,0.222900003,0.424800009,0.371100008
6285,water,3474,373772.6559,2381292.109,0.098899998,0.109300002,0.096000001,0.066699997,0.106700003,0.093800001,0.094099998
6286,water,3475,373753.5044,2381314.973,0.097099997,0.102899998,0.0942,0.065899998,0.026699999,0,0
6287,water,3476,373441.2531,2381201.168,0.119999997,0.115000002,0.103699997,0.073200002,0.0162,0,0
6288,water,3477,373394.3689,2381356.664,0.119099997,0.120700002,0.101999998,0.074000001,0.080300003,0.113600001,0.0077
6289,water,3478,373400.9835,2381359.309,0.1127,0.126399994,0.1109,0.0876,0.0297,0.0084,0
6290,water,3479,373400.7189,2381365.924,0.106299996,0.117200002,0.102600001,0.0691,0.033500001,0.050000001,0
6291,water,3482,373413.2866,2381372.539,0.113600001,0.122199997,0.106700003,0.0836,0.035,0.0113,0
6292,water,3484,373418.7106,2381382.328,0.1127,0.122199997,0.110299997,0.075599998,0.026000001,0,0
6293,water,3485,373420.0335,2381389.472,0.1118,0.119999997,0.104900002,0.0748,0.026000001,0.0069,0
6294,water,3487,373429.294,2381384.048,0.119099997,0.124300003,0.109099999,0.082000002,0.0328,0.0047,0
6295,water,3488,373432.0721,2381390.398,0.115400001,0.125699997,0.107900001,0.084399998,0.028999999,0.0091,0
6296,water,3489,373428.7648,2381392.912,0.1127,0.1193,0.110299997,0.082000002,0.0305,0.0054,0
6297,water,3491,373434.7179,2381398.468,0.1118,0.126399994,0.107900001,0.0876,0.034299999,0.0127,0
6298,water,3493,373441.8617,2381398.6,0.114500001,0.1329,0.110299997,0.084399998,0.034299999,0.0135,0
6299,water,3494,373440.4065,2381404.289,0.1127,0.127200007,0.1109,0.082800001,0.028999999,0.0054,0
6300,water,3495,373437.2315,2381409.713,0.105400003,0.121399999,0.103100002,0.073200002,0.090099998,0.076300003,0
6301,water,3496,373443.4492,2381411.168,0.114500001,0.113600001,0.103100002,0.072400004,0.0184,0,0
6302,water,3498,373451.1221,2381417.121,0.1127,0.124300003,0.1043,0.0788,0.0132,0,0
6303,water,3500,373457.7367,2381422.942,0.105400003,0.122199997,0.1043,0.0836,0.0297,0.0084,0
6304,water,3501,373461.4409,2381420.561,0.108999997,0.120700002,0.112000003,0.0748,0.031300001,0.012,0
6305,water,3502,373463.0284,2381427.572,0.117299996,0.126399994,0.104900002,0.078000002,0.0328,0.015699999,0
6306,water,3503,373460.5148,2381433.128,0.114500001,0.114299998,0.107299998,0.081200004,0.023,0.0062,0
6307,water,3504,373465.1451,2381437.759,0.106299996,0.116400003,0.097800002,0.070699997,0.078000002,0.041200001,0
6308,water,3506,373471.892,2381440.934,0.114500001,0.118600003,0.113799997,0.082000002,0.036499999,0.0098,0
6309,water,3509,373481.417,2381455.089,0.108999997,0.115000002,0.1061,0.082000002,0.0147,0,0
6310,water,3510,373487.3701,2381455.75,0.1118,0.122199997,0.110299997,0.080399998,0.032000002,0.0142,0
6311,water,3511,373489.3545,2381462.894,0.113600001,0.121399999,0.109700002,0.081200004,0.026000001,0,0
6312,water,3512,373495.5722,2381466.201,0.109899998,0.118600003,0.111400001,0.082000002,0.034299999,0,0
6313,water,3513,373501.7899,2381475.197,0.104400001,0.1021,0.091300003,0.068300001,0.082599998,0.103299998,0.036499999
6314,water,3515,373511.0504,2381484.722,0.1109,0.112899996,0.1061,0.0748,0.028999999,0,0
6315,water,3516,373514.8868,2381491.205,0.079700001,0.085000001,0.065800004,0.0297,0.281699985,0.483999997,0.44659999
6316,water,3519,373529.5712,2381501.656,0.109899998,0.116400003,0.107299998,0.075599998,0.0328,0.017100001,0
6317,water,3520,373533.54,2381506.815,0.076899998,0.084299996,0.058699999,0.035300002,0.2236,0.353199989,0.437000006
6318,water,3521,373540.4192,2381507.212,0.097999997,0.115000002,0.093699999,0.065899998,0.096100003,0.162499994,0.092900001
6319,water,3523,373549.1504,2381515.679,0.081500001,0.097099997,0.0735,0.049800001,0.182099998,0.294800013,0.325500011
6320,water,3524,373555.1036,2381518.457,0.0999,0.1021,0.093099996,0.062700003,0.1127,0.126699999,0.0197
6321,water,3525,373566.0838,2381522.955,0.1109,0.116400003,0.107299998,0.082800001,0.032000002,0,0
6322,water,3530,373377.1786,2381479.649,0.117299996,0.127200007,0.107299998,0.0836,0.076499999,0.012,0
6323,water,3532,373392.6303,2381492.667,0.109899998,0.119999997,0.119199999,0.078000002,0.0154,0,0
6324,water,3533,373398.4512,2381497.112,0.113600001,0.124300003,0.112599999,0.082800001,0.051600002,0.0025,0
6325,water,3534,373405.2245,2381500.922,0.098899998,0.115000002,0.0942,0.072400004,0.143700004,0.168400005,0.120499998
6326,water,3535,373409.1404,2381504.838,0.105400003,0.119999997,0.113200001,0.079599999,0.066,0.056600001,0
6327,water,3537,373424.1687,2381510.87,0.102600001,0.112899996,0.093699999,0.068300001,0.102899998,0.127399996,0.061700001
6328,water,3538,373432.1063,2381515.527,0.1017,0.112899996,0.097199999,0.063500002,0.109700002,0.117200002,0.043699998
6329,water,3539,373439.8321,2381520.395,0.085199997,0.089299999,0.067599997,0.031300001,0.243200004,0.382400006,0.360300004
6330,water,3541,373329.7917,2381530.079,0.093400002,0.097900003,0.077600002,0.054699998,0.135399997,0.155200005,0.1972
6331,water,3542,373334.9511,2381538.81,0.117299996,0.132200003,0.108499996,0.090099998,0.043299999,0,0
6332,water,3543,373340.7719,2381544.631,0.1127,0.122199997,0.111400001,0.088399999,0.041099999,0.0113,0
6333,water,3544,373345.5344,2381554.288,0.090700001,0.094300002,0.087099999,0.044199999,0.213100001,0.281599998,0.203199998
6334,water,3546,373354.5303,2381568.179,0.108099997,0.117200002,0.101999998,0.079599999,0.127800003,0.154499993,0.073700003
6335,water,3547,373357.8376,2381572.412,0.107199997,0.117899999,0.1043,0.078000002,0.093900003,0.096000001,0.0605
6336,water,3548,373362.8647,2381578.366,0.120899998,0.132200003,0.125699997,0.0933,0.033500001,0,0
6337,water,3549,373367.8918,2381588.684,0.1237,0.143600002,0.129199997,0.1061,0.058400001,0.0471,0
6338,water,3550,373372.3897,2381598.077,0.1237,0.140699998,0.133399993,0.100500003,0.0546,0.036800001,0
6339,water,3551,373378.0782,2381607.205,0.130099997,0.146500006,0.1435,0.107000001,0.087099999,0.041200001,0
6340,water,3552,373378.872,2381615.275,0.118199997,0.133599997,0.118000001,0.098099999,0.028200001,0,0
6341,water,3553,373381.9147,2381629.695,0.115400001,0.131400004,0.136399999,0.098099999,0.102899998,0.1391,0.0605
6342,water,3554,373387.0741,2381639.088,0.148399994,0.174999997,0.164800003,0.151199996,0.106700003,0.096000001,0
6343,water,3555,373392.2335,2381657.212,0.126399994,0.154300004,0.142299995,0.119000003,0.056899998,0.032499999,0
6344,water,3556,373396.3345,2381663.562,0.125499994,0.147200003,0.134599999,0.113399997,0.050900001,0.039799999,0
6345,water,3558,373401.3616,2381668.721,0.118199997,0.1329,0.129800007,0.1021,0.0592,0.034699999,0
6346,water,3560,373495.8181,2381719.003,0.109899998,0.115000002,0.112000003,0.0788,0.074299999,0.066100001,0
6347,water,3561,373495.4212,2381759.22,0.108999997,0.120700002,0.113200001,0.094899997,0.059900001,0,0
6348,water,3562,373150.0599,2381784.241,0.117299996,0.129299998,0.116800003,0.094899997,0.031300001,0,0
6349,water,3563,373151.0124,2381790.061,0.103500001,0.109300002,0.102600001,0.064300001,0.0561,0.065300003,0
6350,water,3564,373150.1657,2381798.105,0.1118,0.121399999,0.107900001,0.084399998,0.0396,0.0135,0
6351,water,3565,373105.6839,2381865.341,0.117299996,0.126399994,0.1162,0.082000002,0.0116,0,0
6352,water,3566,373019.284,2381987.155,0.108099997,0.114299998,0.107299998,0.078000002,0.113499999,0.118699998,0.120499998
6353,water,3567,373021.189,2381992.235,0.1118,0.117200002,0.110299997,0.077200003,0.038800001,0.0084,0
6354,water,3569,373335.0285,2382168.016,0.1008,0.082099997,0.075300001,0.047400001,0.0162,0,0
6355,water,3571,373339.2618,2382164.418,0.105400003,0.101400003,0.096600004,0.079599999,0.065200001,0.0427,0
6356,water,3575,372909.8295,2382192.856,0.0898,0.094999999,0.076499999,0.045000002,0.229699999,0.339300007,0.359100014
6357,water,3576,372915.7826,2382190.872,0.115400001,0.120700002,0.113799997,0.084399998,0.038800001,0,0
6358,water,3577,372923.7202,2382193.385,0.079700001,0.079300001,0.065200001,0.036200002,0.225099996,0.332800001,0.405900002
6359,water,3578,372926.7629,2382196.561,0.1017,0.107100002,0.091300003,0.061099999,0.164000005,0.241400003,0.209199995
6360,water,3579,372931.3931,2382201.191,0.086999997,0.082800001,0.0616,0.032900002,0.227400005,0.334199995,0.381900012
6361,water,3580,372933.3775,2382206.615,0.0898,0.097099997,0.081200004,0.046599999,0.193399996,0.256799996,0.252400011
6362,water,3581,372936.8171,2382210.319,0.105400003,0.106399998,0.095399998,0.064300001,0.142900005,0.157399997,0.169599995
6363,water,3585,372941.8442,2382251.065,0.0898,0.091399997,0.082999997,0.055500001,0.144400001,0.166199997,0.086900003
6364,water,3586,372955.8671,2382188.623,0.090700001,0.100000001,0.086499996,0.046599999,0.216100007,0.373699993,0.380699992
6365,water,3589,372974.388,2382200.397,0.1127,0.122900002,0.1061,0.081200004,0.072700001,0.0273,0
6366,water,3590,372950.1785,2382260.59,0.097099997,0.102899998,0.098399997,0.063500002,0.099100001,0.1391,0.028100001
6367,water,3592,372892.2347,2382194.576,0.119099997,0.117899999,0.112000003,0.0876,0.066,0.0208,0
6368,water,3593,372887.6045,2382197.354,0.117299996,0.127900004,0.1197,0.089299999,0.023,0.0084,0
6369,water,3594,372885.6201,2382201.852,0.102600001,0.101400003,0.088299997,0.061099999,0.103699997,0.099699996,0
6370,water,3595,372884.2972,2382206.747,0.1219,0.122900002,0.114399999,0.086800002,0.036499999,0.0025,0
6371,water,3597,372866.0409,2382233.735,0.1228,0.125699997,0.109099999,0.091700003,0.068999998,0.019300001,0
6372,water,3598,372787.9569,2382314.157,0.108099997,0.111400001,0.1008,0.068300001,0.0561,0.075599998,0
6373,water,3599,372788.1156,2382320.666,0.108099997,0.105700001,0.099600002,0.073200002,0.067500003,0,0
6374,water,3600,372775.4156,2382330.667,0.086099997,0.078599997,0.074100003,0.0394,0.142100006,0.193200007,0.167199999
