,CLASS_NAME,num,x,y,HH,HV,HH+HV,Entropy,Alpha,Anisotropy,HA,H(1-A)
91,baigurang,3953,373404.2005,2381408.651,-11.839648,-17.151352,-14.495501,0.63988507,15.679761,0.67531425,10.033245,-9.39336
92,baigurang,3955,373416.9799,2381409.762,-12.039896,-18.00251,-15.021203,0.62300366,16.38805,0.6893529,10.209815,-9.586812
93,baigurang,3956,373427.9337,2381424.367,-10.099419,-18.597786,-14.348602,0.645073,17.83653,0.6709097,11.505864,-10.860791
94,baigurang,3957,373423.568,2381434.13,-11.488065,-18.886948,-15.187506,0.6501476,17.149456,0.6665588,11.149678,-10.499531
95,baigurang,3958,373437.6968,2381440.559,-11.558344,-18.27124,-14.914792,0.64489454,16.815258,0.67106193,10.844069,-10.199174
96,baigurang,3959,373434.9981,2381452.307,-12.31732,-17.514145,-14.915732,0.63570714,16.155102,0.6788301,10.269914,-9.634207
97,baigurang,3961,373479.9178,2381479.438,-11.533346,-19.948421,-15.740884,0.5651009,14.151173,0.7343753,7.9968405,-7.43174
98,baigurang,3963,373506.6408,2381509.733,-12.379781,-17.640993,-15.010387,0.76191616,23.461172,0.5580805,17.875446,-17.11353
99,baigurang,3965,373514.9752,2381601.014,-11.406207,-19.29558,-15.350893,0.72527444,19.514767,0.59664094,14.153562,-13.4282875
100,baigurang,3967,373562.9971,2381637.13,-11.477902,-19.370802,-15.424353,0.6666631,16.336323,0.6520985,10.890823,-10.22416
101,baigurang,3970,373587.6034,2381697.984,-11.690449,-19.254158,-15.472303,0.6669041,20.665947,0.651884,13.782205,-13.1153
102,baigurang,3973,373599.8272,2381571.545,-12.988602,-17.684763,-15.336682,0.7382641,21.48313,0.5833549,15.860223,-15.121959
103,baigurang,3974,373959.7684,2381636.487,-14.265027,-22.596943,-18.430984,0.5276223,14.411639,0.76120794,7.603902,-7.0762796
104,baigurang,3976,373968.9627,2381614.989,-11.817993,-19.385853,-15.601923,0.61129785,16.790651,0.6988336,10.264089,-9.652791
105,baigurang,3977,373953.683,2381614.659,-11.239237,-17.14461,-14.191923,0.6719127,19.10232,0.6474026,12.835092,-12.163179
106,baigurang,3980,373879.2159,2381612.595,-14.968402,-18.935173,-16.951788,0.8020068,24.00571,0.5115367,19.252743,-18.450735
107,baigurang,3981,373933.9847,2381575.13,-13.524863,-17.383986,-15.454424,0.76376486,27.040321,0.55604184,20.652447,-19.888681
108,baigurang,3982,373964.306,2381596.561,-11.66413,-17.431154,-14.547642,0.72124237,19.889603,0.6006852,14.345224,-13.623981
109,baigurang,3983,373951.7647,2381557.191,-13.055953,-17.86131,-15.4586315,0.72023755,23.8202,0.6016874,17.156202,-16.435965
110,baigurang,3984,373895.2496,2381544.967,-11.283747,-19.259941,-15.271844,0.6652052,18.488035,0.6533939,12.298337,-11.633132
