,CLASS_NAME,num,x,y,B1,B3,B4,B5,B6,B7,B8,RVI,GNDVI,MTVI2,MSAVI,MCARI,NDVIRE,NDWI,CMRI
5997,tonghuashu,9665,371629.3831,2385724.602,0.073700003,0.064999998,0.050999999,0.0265,0.194199994,0.290399998,0.315899998,10.95849,0.634215,0.53168017,0.4790607,1.0395929,0.759855,-0.634215,1.46697
5998,tonghuashu,9667,371628.9466,2385728.173,0.076899998,0.072800003,0.062199999,0.0209,0.185900003,0.331999987,0.256000012,15.885167,0.6403161,0.6612717,0.56737936,1.2664326,0.79787236,-0.6403161,1.521869
5999,tonghuashu,9668,371635.0585,2385724.244,0.075300001,0.069300003,0.0557,0.0233,0.161799997,0.26699999,0.247600004,11.459228,0.587868,0.5246035,0.44936973,0.83330476,0.7482443,-0.587868,1.4273444
6000,tonghuashu,9670,371638.7891,2385724.205,0.075300001,0.059999999,0.046799999,0.020099999,0.1708,0.284500003,0.242799997,14.154229,0.6516691,0.5640768,0.49015287,1.0922704,0.7894186,-0.6516691,1.5196927
6001,tonghuashu,9671,371638.8685,2385726.665,0.077699997,0.072099999,0.057500001,0.0305,0.172299996,0.2465,0.2368,8.081967,0.5473949,0.44338748,0.3925759,0.68784416,0.69921106,-0.5473949,1.3271782
6002,tonghuashu,9672,371637.0825,2385726.586,0.073700003,0.062799998,0.052700002,0.022500001,0.121799998,0.209999993,0.203199998,9.333333,0.5395894,0.41475987,0.35069513,0.47366664,0.6881497,-0.5395894,1.3460411
6003,tonghuashu,9673,371641.3291,2385722.498,0.072899997,0.062100001,0.0539,0.0297,0.228100002,0.334199995,0.408300012,11.252525,0.6866011,0.5725054,0.5394294,1.2687582,0.7695888,-0.6866011,1.5233693
6004,tonghuashu,9676,371686.9698,2385718.569,0.077699997,0.070699997,0.060400002,0.032099999,0.206300005,0.312999994,0.357899994,9.750779,0.63148296,0.53894824,0.49808893,0.94525254,0.73070467,-0.63148296,1.44545
6005,tonghuashu,9677,371689.3114,2385718.688,0.076899998,0.065700002,0.056899998,0.0273,0.186700001,0.302100003,0.293099999,11.065934,0.64274067,0.54625523,0.49589023,0.9246094,0.7448598,-0.64274067,1.4769847
6006,tonghuashu,9679,371688.7161,2385720.673,0.076899998,0.073600002,0.062799998,0.0337,0.187399998,0.313800007,0.314700007,9.311573,0.620031,0.5348188,0.49431542,0.7281351,0.6951605,-0.620031,1.4260743
6007,tonghuashu,9680,371686.4539,2385720.792,0.072899997,0.069300003,0.056899998,0.0273,0.178399995,0.313800007,0.338699996,11.494506,0.6382146,0.57176334,0.51501846,0.8448187,0.7345649,-0.6382146,1.4781442
6008,tonghuashu,9681,371686.7714,2385722.855,0.075300001,0.063600004,0.052700002,0.0233,0.1338,0.229699999,0.181600004,9.858369,0.56631434,0.44679642,0.38377795,0.5539205,0.7033737,-0.56631434,1.3821247
6009,tonghuashu,9684,371690.7798,2385724.284,0.081600003,0.07,0.064000003,0.031300001,0.167799994,0.278699994,0.185200006,8.904153,0.5985088,0.4882129,0.4446735,0.6269179,0.6855852,-0.5985088,1.3965733
6010,tonghuashu,9685,371688.4779,2385724.721,0.076099999,0.059300002,0.047400001,0.016799999,0.109700002,0.219500005,0.061700001,13.065477,0.5746054,0.4714842,0.3844176,0.5407949,0.7343874,-0.5746054,1.4324133
6011,tonghuashu,9687,371708.8774,2385716.228,0.077699997,0.064999998,0.052700002,0.025699999,0.205500007,0.334199995,0.355500013,13.003891,0.6743487,0.6081023,0.55332696,1.2130098,0.77768165,-0.6743487,1.5315313
6012,tonghuashu,9688,371708.9964,2385718.133,0.074500002,0.070699997,0.054499999,0.028899999,0.169300005,0.28670001,0.327899992,9.920416,0.60436493,0.5188924,0.4653017,0.70695937,0.7083754,-0.60436493,1.4212217
6013,tonghuashu,9690,371706.6549,2385714.6,0.076899998,0.07,0.058699999,0.0297,0.1919,0.32249999,0.3759,10.858585,0.6433121,0.5690424,0.52099335,0.8904936,0.7319495,-0.6433121,1.4746578
6014,tonghuashu,9692,371767.1784,2385722.697,0.076099999,0.0614,0.0504,0.0209,0.178399995,0.312299997,0.306300014,14.942584,0.67139417,0.6070363,0.5347549,1.1446623,0.790266,-0.67139417,1.545944
6015,tonghuashu,9693,371769.2422,2385722.736,0.080799997,0.0678,0.062799998,0.031300001,0.183599994,0.283100009,0.314700007,9.044728,0.61356515,0.4913811,0.45197225,0.75751126,0.7087018,-0.61356515,1.4144557
6016,tonghuashu,9694,371774.9572,2385720.315,0.080799997,0.071400002,0.0557,0.032099999,0.199499995,0.387499988,0.37470001,12.0716505,0.68882114,0.6481726,0.6102704,0.88115615,0.722798,-0.68882114,1.5358183
6017,tonghuashu,9695,371777.14,2385722.26,0.079999998,0.068599999,0.0539,0.034499999,0.205500007,0.3671,0.408300012,10.64058,0.6851044,0.5989024,0.57271516,0.85547566,0.7125,-0.6851044,1.5132916
6018,tonghuashu,9697,371779.0847,2385724.125,0.077699997,0.066399999,0.054499999,0.031300001,0.180600002,0.307200015,0.256000012,9.814696,0.64453965,0.5274587,0.4913332,0.7296702,0.7045777,-0.64453965,1.4596062
6019,tonghuashu,9698,371795.3169,2385722.458,0.075300001,0.0814,0.064000003,0.028100001,0.204799995,0.359800011,0.381900012,12.804271,0.6310063,0.6575878,0.58438027,1.1079606,0.7586947,-0.6310063,1.4861236
6020,tonghuashu,9699,371796.9441,2385722.498,0.076899998,0.073600002,0.059799999,0.032900002,0.201700002,0.305000007,0.34709999,9.270516,0.6111992,0.5263958,0.48278108,0.87779343,0.71952254,-0.6111992,1.416467
6021,tonghuashu,9701,371791.0307,2385724.681,0.078500003,0.062799998,0.052700002,0.031300001,0.144400001,0.255299985,0.2368,8.1565485,0.60515565,0.43617573,0.40533122,0.44648665,0.64371085,-0.60515565,1.3867327
6022,tonghuashu,9702,371789.1653,2385724.602,0.078500003,0.052099999,0.049800001,0.022500001,0.118799999,0.191,0.172000006,8.488889,0.57136977,0.35853258,0.3161921,0.43802878,0.6815287,-0.57136977,1.360597
6023,tonghuashu,9704,371831.4723,2385720.355,0.080799997,0.068599999,0.059300002,0.034499999,0.1708,0.285299987,0.302700013,8.269565,0.6123198,0.4760534,0.4460418,0.57359093,0.66390646,-0.6123198,1.39656
6024,tonghuashu,9705,371831.3929,2385721.903,0.079300001,0.076399997,0.065800004,0.032900002,0.186700001,0.294,0.277500004,8.93617,0.587473,0.5140915,0.4650075,0.74759436,0.70036423,-0.587473,1.3861881
6025,tonghuashu,9706,371829.1307,2385722.3,0.076099999,0.075000003,0.0616,0.032099999,0.193399996,0.3116,0.305099994,9.707166,0.612002,0.54455334,0.49585563,0.8291498,0.71529937,-0.612002,1.4252112
6026,tonghuashu,9707,371827.3448,2385722.3,0.080799997,0.071400002,0.058699999,0.0337,0.176100001,0.251700014,0.273900002,7.468843,0.55803156,0.43112758,0.3924607,0.63469154,0.67874163,-0.55803156,1.3218718
6027,tonghuashu,9708,371825.4001,2385722.379,0.077699997,0.068599999,0.064000003,0.036200002,0.176100001,0.255299985,0.256000012,7.0524855,0.57641244,0.41744497,0.3915994,0.57597345,0.65897316,-0.57641244,1.328042
